Restaurant ID,Restaurant name,Order ID,Subtotal,Delivery fee,Total taxes,Total,Payment method,Fulfillment date (YYYY-MM-DD),Fulfillment time,Service fees on subtotal
402970,A&W,553788670,34.69,4.5,1.73,44.74,CARD,2022-08-17,11:30,3.82
402970,A&W,554318501,11.99,4.5,0.84,23.41,ONLINE,2022-08-18,12:16,1.32
402970,A&W,554347383,29.96,4.5,1.5,39.26,CARD,2022-08-18,13:07,3.3
402970,A&W,554580355,21.67,4.5,1.08,29.63,CASH,2022-08-18,21:52,2.38
402970,A&W,555774910,38.06,0,1.9,44.15,CARD,2022-08-20,19:04,4.19
402970,A&W,555832716,27.17,4.5,1.36,36.02,CARD,2022-08-20,21:15,2.99
402970,A&W,555842870,34.67,4.5,1.73,44.71,CARD,2022-08-20,21:54,3.81
402970,A&W,556066300,39.67,0,1.98,46.01,CASH,2022-08-21,11:46,4.36
402970,A&W,556281834,49.16,0,2.68,61.59,ONLINE,2022-08-21,18:03,5.41
402970,A&W,556633194,7.67,4.5,0.38,13.39,ONLINE,2022-08-22,13:03,0.84
402970,A&W,557155591,28.88,4.5,1.51,39.52,ONLINE,2022-08-23,16:10,3.18
402970,A&W,557209011,41.57,0,2.08,48.22,CARD,2022-08-23,18:06,4.57
402970,A&W,557245570,20.67,4.5,1.03,28.47,CASH,2022-08-23,19:38,2.27
402970,A&W,557656143,46.76,0,2.34,54.24,CARD,2022-08-24,17:26,5.14
402970,A&W,557739280,13.09,4.5,0.65,19.68,CASH,2022-08-24,21:06,1.44
402970,A&W,557947167,28.8,4.5,1.44,37.91,CARD,2022-08-25,11:04,3.17
402970,A&W,557990812,22.98,4.5,1.39,36.2,ONLINE,2022-08-25,12:14,2.53
402970,A&W,558117078,17.28,4.5,0.86,24.54,CARD,2022-08-25,16:24,1.9
402970,A&W,558191031,22.18,4.5,1.11,30.23,ONLINE,2022-08-25,18:47,2.44
402970,A&W,558199773,29.17,4.5,1.84,46.39,ONLINE,2022-08-25,19:04,3.21
402970,A&W,558243732,13.09,4.5,0.65,19.68,CARD,2022-08-25,21:15,1.44
402970,A&W,558546755,20.22,4.5,1.01,27.95,CARD,2022-08-26,12:15,2.22
402970,A&W,558637930,30.96,4.5,1.61,41.63,ONLINE,2022-08-26,14:35,3.41
402970,A&W,558694272,28.66,4.5,1.61,41.51,ONLINE,2022-08-26,16:09,3.15
402970,A&W,559500369,8.09,4.5,0.4,13.88,CARD,2022-08-27,21:06,0.89
402970,A&W,560039557,28.95,4.5,1.64,42.08,ONLINE,2022-08-29,12:49,3.18
402970,A&W,560060070,39.16,0,2.18,49.97,ONLINE,2022-08-28,20:34,4.31
402970,A&W,560277308,29.17,4.5,1.86,46.77,ONLINE,2022-08-29,11:51,3.21
402970,A&W,560431634,34.67,4.5,1.73,44.71,CASH,2022-08-29,17:42,3.81
402970,A&W,560452329,27.38,4.5,1.37,36.26,CASH,2022-08-29,18:31,3.01
402970,A&W,560861514,56.25,0,2.81,65.25,CASH,2022-08-30,17:16,6.19
402970,A&W,561142787,32.19,4.5,1.61,41.84,CARD,2022-08-31,11:02,3.54
402970,A&W,561146789,21.18,4.5,1.21,32.27,Card (G-Pay / via Browser),2022-08-31,10:51,2.33
402970,A&W,561202874,22.98,4.5,1.39,36.2,ONLINE,2022-08-31,12:47,2.53
402970,A&W,561222871,38.97,0,1.95,45.21,CARD,2022-08-31,13:34,4.29
402970,A&W,561296048,44.43,0,2.22,51.54,CARD,2022-08-31,16:13,4.89
402970,A&W,561331582,26.18,4.5,1.31,34.87,CARD,2022-08-31,17:19,2.88
402970,A&W,561390795,34.77,4.5,1.74,44.83,CARD,2022-08-31,19:31,3.82
402970,A&W,561795647,27.88,4.5,1.39,36.84,ONLINE,2022-09-01,16:39,3.07
402970,A&W,561890752,29.78,4.5,1.49,39.05,ONLINE,2022-09-01,20:23,3.28
402970,A&W,562242572,23.27,4.5,1.16,31.49,CARD,2022-09-02,12:56,2.56
402970,A&W,562448155,29.97,4.5,1.73,44.05,ONLINE,2022-09-02,18:13,3.3
402970,A&W,562490436,25.29,4.5,1.26,33.83,CARD,2022-09-02,19:09,2.78
402970,A&W,562514801,56.25,0,3.12,71.78,ONLINE,2022-09-02,19:56,6.19
402970,A&W,562930048,63.3,0,3.17,73.43,CARD,2022-09-03,14:49,6.96
402970,A&W,563008775,36.45,0,1.82,42.28,CARD,2022-09-03,16:33,4.01
402970,A&W,563016794,35.75,0,1.79,41.47,ONLINE,2022-09-03,16:48,3.93
402970,A&W,563377162,14.27,4.5,0.71,21.05,CASH,2022-09-04,10:39,1.57
402970,A&W,563380542,10.79,4.5,0.66,19.57,ONLINE,2022-09-04,10:38,1.19
402970,A&W,563667683,45.77,0,2.54,58.4,ONLINE,2022-09-04,18:12,5.03
